_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Rashid Khan,Sharjah Cricket Stadium,3,23,2,0,17,0,0,0,24,1,2,95.83333333333334,23.0,Rashid Khan,Rashid Khan
Rashid Khan,"Sheikh Zayed Stadium, Abu Dhabi",4,28,4,1,11,0,0,0,23,2,2,121.73913043478262,14.0,Rashid Khan,Rashid Khan
Rashid Khan,"Wankhede Stadium, Mumbai",6,137,4,16,79,1,0,0,62,2,4,220.96774193548384,68.5,Rashid Khan,Rashid Khan
MS Dhoni,"Arun Jaitley Stadium, Delhi",9,186,13,5,44,0,0,0,166,6,3,112.04819277108433,31.0,MS Dhoni,MS Dhoni
MS Dhoni,"Barabati Stadium, Cuttack",1,23,0,1,23,0,0,0,20,1,0,114.99999999999999,23.0,MS Dhoni,MS Dhoni
MS Dhoni,"Brabourne Stadium, Mumbai",3,65,4,3,26,0,0,0,62,2,1,104.83870967741935,32.5,MS Dhoni,MS Dhoni
MS Dhoni,"Buffalo Park, East London",1,58,6,1,58,1,0,0,37,0,1,156.75675675675674,58.0,MS Dhoni,MS Dhoni
MS Dhoni,"Dr DY Patil Sports Academy, Mumbai",3,81,6,3,30,0,0,0,64,2,1,126.5625,40.5,MS Dhoni,MS Dhoni
MS Dhoni,"Dr DY Patil Sports Academy, Navi Mumbai",4,52,4,3,28,0,0,0,27,1,3,192.59259259259258,52.0,MS Dhoni,MS Dhoni
MS Dhoni,"Dr Y S Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,110,6,7,64,1,0,0,70,3,1,157.14285714285714,36.666666666666664,MS Dhoni,MS Dhoni
MS Dhoni,Dubai International Cricket Stadium,12,183,17,5,47,0,0,0,164,8,4,111.58536585365854,22.875,MS Dhoni,MS Dhoni
MS Dhoni,"Eden Gardens, Kolkata",12,280,15,16,66,2,0,0,210,6,6,133.33333333333331,46.666666666666664,MS Dhoni,MS Dhoni
MS Dhoni,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,60,6,2,54,1,0,0,45,1,1,133.33333333333331,60.0,MS Dhoni,MS Dhoni
MS Dhoni,"Holkar Cricket Stadium, Indore",1,5,0,0,5,0,0,0,11,1,0,45.45454545454545,5.0,MS Dhoni,MS Dhoni
MS Dhoni,"JSCA International Stadium Complex, Ranchi",5,138,6,6,57,1,0,0,109,2,3,126.60550458715596,69.0,MS Dhoni,MS Dhoni
MS Dhoni,"Kingsmead, Durban",4,47,2,1,22,0,0,0,51,4,0,92.15686274509804,11.75,MS Dhoni,MS Dhoni
MS Dhoni,"M Chinnaswamy Stadium, Bengaluru",11,464,35,32,84,5,0,0,257,5,6,180.54474708171207,92.8,MS Dhoni,MS Dhoni
MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",55,1445,90,73,75,7,0,0,993,34,21,145.51863041289025,42.5,MS Dhoni,MS Dhoni
MS Dhoni,"Maharashtra Cricket Association Stadium, Pune",20,502,33,25,61,2,0,0,357,10,10,140.61624649859942,50.2,MS Dhoni,MS Dhoni
MS Dhoni,"Narendra Modi Stadium, Motera, Ahmedabad",2,14,1,1,14,0,0,0,8,1,1,175.0,14.0,MS Dhoni,MS Dhoni
MS Dhoni,"Nehru Stadium, Kochi",1,14,1,1,14,0,0,0,13,0,1,107.6923076923077,14.0,MS Dhoni,MS Dhoni
MS Dhoni,"Newlands, Cape Town",1,36,1,2,36,0,0,0,26,1,0,138.46153846153845,36.0,MS Dhoni,MS Dhoni
MS Dhoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",6,160,12,9,79,1,0,0,97,3,3,164.9484536082474,53.333333333333336,MS Dhoni,MS Dhoni
MS Dhoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",8,134,13,4,37,0,0,0,102,7,1,131.37254901960785,19.142857142857142,MS Dhoni,MS Dhoni
MS Dhoni,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2,52,6,0,31,0,0,0,56,1,1,92.85714285714286,52.0,MS Dhoni,MS Dhoni
MS Dhoni,"Saurashtra Cricket Association Stadium, Rajkot",2,27,2,1,22,0,0,0,18,1,1,150.0,27.0,MS Dhoni,MS Dhoni
MS Dhoni,"Sawai Mansingh Stadium, Jaipur",6,145,7,7,58,1,0,0,111,4,2,130.63063063063063,36.25,MS Dhoni,MS Dhoni
MS Dhoni,"Shaheed Veer Narayan Singh International Stadium, Raipur",1,27,3,1,27,0,0,0,24,1,0,112.5,27.0,MS Dhoni,MS Dhoni
MS Dhoni,Sharjah Cricket Stadium,6,86,6,5,29,0,0,0,72,2,4,119.44444444444444,43.0,MS Dhoni,MS Dhoni
MS Dhoni,"Sheikh Zayed Stadium, Abu Dhabi",6,98,8,3,32,0,0,0,72,5,1,136.11111111111111,19.6,MS Dhoni,MS Dhoni
MS Dhoni,"St George's Park, Port Elizabeth",2,39,2,1,23,0,0,0,36,1,1,108.33333333333333,39.0,MS Dhoni,MS Dhoni
MS Dhoni,"SuperSport Park, Centurion",3,118,11,4,56,1,0,0,74,0,3,159.45945945945945,118.0,MS Dhoni,MS Dhoni
MS Dhoni,"The Wanderers Stadium, Johannesburg",2,34,0,0,28,0,0,0,37,2,0,91.8918918918919,17.0,MS Dhoni,MS Dhoni
MS Dhoni,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,7,0,0,7,0,0,0,13,1,0,53.84615384615385,7.0,MS Dhoni,MS Dhoni
MS Dhoni,"Wankhede Stadium, Mumbai",22,392,33,17,50,1,0,0,337,15,7,116.32047477744807,26.133333333333333,MS Dhoni,MS Dhoni
Michael Klinger,"Arun Jaitley Stadium, Delhi",1,18,3,0,18,0,0,0,20,1,0,90.0,18.0,M Klinger,Michael Klinger
Michael Klinger,"M Chinnaswamy Stadium, Bengaluru",1,24,3,0,24,0,0,0,25,1,0,96.0,24.0,M Klinger,Michael Klinger
Michael Klinger,"Nehru Stadium, Kochi",2,31,3,0,29,0,0,0,32,2,0,96.875,15.5,M Klinger,Michael Klinger
Hanuma Vihari,"Arun Jaitley Stadium, Delhi",3,20,0,1,17,0,0,0,34,3,0,58.82352941176471,6.666666666666667,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Eden Gardens, Kolkata",2,7,0,0,6,0,0,0,14,2,0,50.0,3.5,GH Vihari,Hanuma Vihari
Hanuma Vihari,"M Chinnaswamy Stadium, Bengaluru",1,4,0,0,4,0,0,0,3,0,1,133.33333333333331,4.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,0,0,2,0,0,0,3,1,0,66.66666666666666,2.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Maharashtra Cricket Association Stadium, Pune",1,1,0,0,1,0,0,0,8,1,0,12.5,1.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,16,3,0,9,0,0,0,20,3,0,80.0,5.333333333333333,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",9,173,13,0,46,0,0,0,183,7,2,94.53551912568307,24.714285714285715,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Sawai Mansingh Stadium, Jaipur",1,4,0,0,4,0,0,0,9,1,0,44.44444444444444,4.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Wankhede Stadium, Mumbai",2,57,7,0,41,0,0,0,47,2,0,121.27659574468086,28.5,GH Vihari,Hanuma Vihari
Ankit Soni,"Green Park, Kanpur",1,0,0,0,0,0,0,0,6,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Ankit Soni,"Maharashtra Cricket Association Stadium, Pune",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Ankit Soni,"Saurashtra Cricket Association Stadium, Rajkot",1,7,0,1,7,0,0,0,2,0,1,350.0,7.0,Ankit Soni,Ankit Soni
Mohnish  Mishra,"Arun Jaitley Stadium, Delhi",1,25,2,1,25,0,0,0,19,1,0,131.57894736842107,25.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Barabati Stadium, Cuttack",1,1,0,0,1,0,0,0,4,1,0,25.0,1.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Brabourne Stadium, Mumbai",1,5,0,0,5,0,0,0,7,1,0,71.42857142857143,5.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Dr DY Patil Sports Academy, Mumbai",6,61,3,3,37,0,0,0,59,5,1,103.38983050847457,12.2,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Eden Gardens, Kolkata",1,29,6,0,29,0,0,0,16,1,0,181.25,29.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,20,4,0,20,0,0,0,21,1,0,95.23809523809523,20.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"M Chinnaswamy Stadium, Bengaluru",1,9,2,0,9,0,0,0,11,1,0,81.81818181818183,9.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",1,9,1,0,9,0,0,0,9,1,0,100.0,9.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Maharashtra Cricket Association Stadium, Pune",1,4,1,0,4,0,0,0,4,1,0,100.0,4.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,62,3,4,41,0,0,0,48,2,0,129.16666666666669,31.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Wankhede Stadium, Mumbai",1,12,2,0,12,0,0,0,10,1,0,120.0,12.0,MD Mishra,Mohnish  Mishra
Pragyan Ojha,"Arun Jaitley Stadium, Delhi",2,0,0,0,0,0,0,0,3,2,0,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Brabourne Stadium, Mumbai",2,3,0,0,2,0,0,0,3,1,1,100.0,3.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Buffalo Park, East London",1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Dr DY Patil Sports Academy, Mumbai",3,1,0,0,1,0,0,0,6,2,1,16.666666666666664,0.5,PP Ojha,Pragyan Ojha
Pragyan Ojha,Dubai International Cricket Stadium,1,1,0,0,1,0,0,0,5,0,1,20.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Eden Gardens, Kolkata",2,1,0,0,1,0,0,0,1,1,1,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Kingsmead, Durban",2,0,0,0,0,0,0,0,4,1,1,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Maharashtra Cricket Association Stadium, Pune",1,1,0,0,1,0,0,0,1,1,0,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Sawai Mansingh Stadium, Jaipur",2,2,0,0,1,0,0,0,3,0,2,66.66666666666666,2.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"SuperSport Park, Centurion",1,1,0,0,1,0,0,0,1,1,0,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Wankhede Stadium, Mumbai",3,5,0,0,3,0,0,0,15,2,1,33.33333333333333,2.5,PP Ojha,Pragyan Ojha
Vijay Zol,"M Chinnaswamy Stadium, Bengaluru",2,29,3,1,16,0,0,0,26,2,0,111.53846153846155,14.5,VH Zol,Vijay Zol
Kumar Sangakkara,"Arun Jaitley Stadium, Delhi",4,111,16,1,49,0,0,0,100,4,0,111.00000000000001,27.75,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Barabati Stadium, Cuttack",3,94,11,2,82,1,0,0,70,3,0,134.28571428571428,31.333333333333332,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Diamond Oval, Kimberley",1,25,1,1,25,0,0,0,18,1,0,138.88888888888889,25.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Dr DY Patil Sports Academy, Mumbai",1,25,2,1,25,0,0,0,21,1,0,119.04761904761905,25.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Dr Y S Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,14,1,0,14,0,0,0,19,1,0,73.68421052631578,14.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Eden Gardens, Kolkata",4,120,11,4,64,1,0,0,85,4,0,141.1764705882353,30.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,85,14,1,52,1,0,0,61,2,0,139.34426229508196,42.5,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Kingsmead, Durban",6,132,10,2,45,0,0,0,133,5,1,99.24812030075188,26.4,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"M Chinnaswamy Stadium, Bengaluru",2,33,3,1,23,0,0,0,27,1,1,122.22222222222223,33.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"MA Chidambaram Stadium, Chepauk, Chennai",3,31,3,1,15,0,0,0,33,3,0,93.93939393939394,10.333333333333334,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Maharashtra Cricket Association Stadium, Pune",1,12,1,0,12,0,0,0,14,1,0,85.71428571428571,12.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Mangaung Oval, Bloemfontein",1,43,6,0,43,0,0,0,47,0,1,91.48936170212765,43.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Nehru Stadium, Kochi",1,65,10,0,65,1,0,0,47,1,0,138.29787234042556,65.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Newlands, Cape Town",2,68,8,1,60,1,0,0,62,2,0,109.6774193548387,34.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",11,408,55,7,94,4,0,0,259,11,0,157.52895752895753,37.09090909090909,KC Sangakkara,Kumar Sangakkara
