_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
MS Dhoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2nd_innings,2,104,8,7,79,1,0,0,60,0,2,173.33333333333334,104.0,MS Dhoni,MS Dhoni
MS Dhoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2nd_innings,5,74,8,1,37,0,0,0,66,5,0,112.12121212121211,14.8,MS Dhoni,MS Dhoni
MS Dhoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1st_innings,3,60,5,3,31,0,0,0,36,2,1,166.66666666666669,30.0,MS Dhoni,MS Dhoni
MS Dhoni,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",1st_innings,1,31,4,0,31,0,0,0,37,0,1,83.78378378378379,31.0,MS Dhoni,MS Dhoni
MS Dhoni,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2nd_innings,1,21,2,0,21,0,0,0,19,1,0,110.5263157894737,21.0,MS Dhoni,MS Dhoni
MS Dhoni,"Saurashtra Cricket Association Stadium, Rajkot",1st_innings,2,27,2,1,22,0,0,0,18,1,1,150.0,27.0,MS Dhoni,MS Dhoni
MS Dhoni,"Sawai Mansingh Stadium, Jaipur",2nd_innings,2,68,3,3,58,1,0,0,59,2,0,115.2542372881356,34.0,MS Dhoni,MS Dhoni
MS Dhoni,"Sawai Mansingh Stadium, Jaipur",1st_innings,4,77,4,4,41,0,0,0,52,2,2,148.0769230769231,38.5,MS Dhoni,MS Dhoni
MS Dhoni,"Shaheed Veer Narayan Singh International Stadium, Raipur",1st_innings,1,27,3,1,27,0,0,0,24,1,0,112.5,27.0,MS Dhoni,MS Dhoni
MS Dhoni,Sharjah Cricket Stadium,2nd_innings,4,67,4,4,29,0,0,0,51,0,4,131.37254901960785,67.0,MS Dhoni,MS Dhoni
MS Dhoni,Sharjah Cricket Stadium,1st_innings,2,19,2,1,16,0,0,0,21,2,0,90.47619047619048,9.5,MS Dhoni,MS Dhoni
MS Dhoni,"Sheikh Zayed Stadium, Abu Dhabi",2nd_innings,3,12,1,0,11,0,0,0,18,2,1,66.66666666666666,6.0,MS Dhoni,MS Dhoni
MS Dhoni,"Sheikh Zayed Stadium, Abu Dhabi",1st_innings,3,86,7,3,32,0,0,0,54,3,0,159.25925925925927,28.666666666666668,MS Dhoni,MS Dhoni
MS Dhoni,"St George's Park, Port Elizabeth",1st_innings,1,16,0,1,16,0,0,0,14,1,0,114.28571428571428,16.0,MS Dhoni,MS Dhoni
MS Dhoni,"St George's Park, Port Elizabeth",2nd_innings,1,23,2,0,23,0,0,0,22,0,1,104.54545454545455,23.0,MS Dhoni,MS Dhoni
MS Dhoni,"SuperSport Park, Centurion",1st_innings,3,118,11,4,56,1,0,0,74,0,3,159.45945945945945,118.0,MS Dhoni,MS Dhoni
MS Dhoni,"The Wanderers Stadium, Johannesburg",1st_innings,2,34,0,0,28,0,0,0,37,2,0,91.8918918918919,17.0,MS Dhoni,MS Dhoni
MS Dhoni,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1st_innings,1,7,0,0,7,0,0,0,13,1,0,53.84615384615385,7.0,MS Dhoni,MS Dhoni
MS Dhoni,"Wankhede Stadium, Mumbai",1st_innings,11,245,23,11,50,1,0,0,198,6,5,123.73737373737374,40.833333333333336,MS Dhoni,MS Dhoni
MS Dhoni,"Wankhede Stadium, Mumbai",2nd_innings,11,147,10,6,42,0,0,0,139,9,2,105.75539568345324,16.333333333333332,MS Dhoni,MS Dhoni
Michael Klinger,"Arun Jaitley Stadium, Delhi",2nd_innings,1,18,3,0,18,0,0,0,20,1,0,90.0,18.0,M Klinger,Michael Klinger
Michael Klinger,"M Chinnaswamy Stadium, Bengaluru",1st_innings,1,24,3,0,24,0,0,0,25,1,0,96.0,24.0,M Klinger,Michael Klinger
Michael Klinger,"Nehru Stadium, Kochi",2nd_innings,1,2,0,0,2,0,0,0,6,1,0,33.33333333333333,2.0,M Klinger,Michael Klinger
Michael Klinger,"Nehru Stadium, Kochi",1st_innings,1,29,3,0,29,0,0,0,26,1,0,111.53846153846155,29.0,M Klinger,Michael Klinger
Hanuma Vihari,"Arun Jaitley Stadium, Delhi",2nd_innings,2,19,0,1,17,0,0,0,26,2,0,73.07692307692307,9.5,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Arun Jaitley Stadium, Delhi",1st_innings,1,1,0,0,1,0,0,0,8,1,0,12.5,1.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Eden Gardens, Kolkata",2nd_innings,2,7,0,0,6,0,0,0,14,2,0,50.0,3.5,GH Vihari,Hanuma Vihari
Hanuma Vihari,"M Chinnaswamy Stadium, Bengaluru",1st_innings,1,4,0,0,4,0,0,0,3,0,1,133.33333333333331,4.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"MA Chidambaram Stadium, Chepauk, Chennai",1st_innings,1,2,0,0,2,0,0,0,3,1,0,66.66666666666666,2.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Maharashtra Cricket Association Stadium, Pune",1st_innings,1,1,0,0,1,0,0,0,8,1,0,12.5,1.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2nd_innings,1,2,0,0,2,0,0,0,5,1,0,40.0,2.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1st_innings,2,14,3,0,9,0,0,0,15,2,0,93.33333333333333,7.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1st_innings,3,38,2,0,19,0,0,0,45,3,0,84.44444444444444,12.666666666666666,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2nd_innings,6,135,11,0,46,0,0,0,138,4,2,97.82608695652173,33.75,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Sawai Mansingh Stadium, Jaipur",1st_innings,1,4,0,0,4,0,0,0,9,1,0,44.44444444444444,4.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Wankhede Stadium, Mumbai",2nd_innings,1,16,3,0,16,0,0,0,10,1,0,160.0,16.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,"Wankhede Stadium, Mumbai",1st_innings,1,41,4,0,41,0,0,0,37,1,0,110.8108108108108,41.0,GH Vihari,Hanuma Vihari
Ankit Soni,"Green Park, Kanpur",1st_innings,1,0,0,0,0,0,0,0,6,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Ankit Soni,"Maharashtra Cricket Association Stadium, Pune",1st_innings,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Ankit Soni,"Saurashtra Cricket Association Stadium, Rajkot",1st_innings,1,7,0,1,7,0,0,0,2,0,1,350.0,7.0,Ankit Soni,Ankit Soni
Mohnish  Mishra,"Arun Jaitley Stadium, Delhi",1st_innings,1,25,2,1,25,0,0,0,19,1,0,131.57894736842107,25.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,"Barabati Stadium, Cuttack",1st_innings,1,1,0,0,1,0,0,0,4,1,0,25.0,1.0,MD Mishra,Mohnish  Mishra
