_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Ramandeep Singh,Delhi Capitals,2nd_innings,1,13,2,0,13,0,0,0,6,0,1,216.66666666666666,13.0,Ramandeep Singh,Ramandeep Singh
Ramandeep Singh,Kolkata Knight Riders,2nd_innings,1,12,0,0,12,0,0,0,16,1,0,75.0,12.0,Ramandeep Singh,Ramandeep Singh
Ramandeep Singh,Royal Challengers Bangalore,1st_innings,1,6,0,0,6,0,0,0,12,1,0,50.0,6.0,Ramandeep Singh,Ramandeep Singh
Ramandeep Singh,Sunrisers Hyderabad,2nd_innings,1,14,1,1,14,0,0,0,6,0,1,233.33333333333334,14.0,Ramandeep Singh,Ramandeep Singh
Avesh Khan,Gujarat Titans,2nd_innings,1,12,0,2,12,0,0,0,4,1,0,300.0,12.0,Avesh Khan,Avesh Khan
Avesh Khan,Kolkata Knight Riders,1st_innings,1,5,1,0,5,0,0,0,3,1,0,166.66666666666669,5.0,Avesh Khan,Avesh Khan
Avesh Khan,Punjab Kings,1st_innings,1,2,0,0,2,0,0,0,5,0,1,40.0,2.0,Avesh Khan,Avesh Khan
Avesh Khan,Punjab Kings,2nd_innings,1,4,1,0,4,0,0,0,3,0,1,133.33333333333331,4.0,Avesh Khan,Avesh Khan
Avesh Khan,Rajasthan Royals,2nd_innings,2,8,0,1,7,0,0,0,4,0,2,200.0,8.0,Avesh Khan,Avesh Khan
Avesh Khan,Royal Challengers Bangalore,2nd_innings,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,Avesh Khan,Avesh Khan
Sunil Narine,Chennai Super Kings,2nd_innings,5,39,5,2,32,0,0,0,29,4,1,134.48275862068965,9.75,SP Narine,Sunil Narine
Sunil Narine,Chennai Super Kings,1st_innings,7,57,1,6,17,0,0,0,39,6,1,146.15384615384613,9.5,SP Narine,Sunil Narine
Sunil Narine,Delhi Capitals,1st_innings,5,69,7,4,64,1,0,0,44,5,0,156.8181818181818,13.8,SP Narine,Sunil Narine
Sunil Narine,Delhi Capitals,2nd_innings,8,63,4,5,26,0,0,0,35,7,1,180.0,9.0,SP Narine,Sunil Narine
Sunil Narine,Gujarat Lions,1st_innings,2,44,9,1,42,0,0,0,24,1,1,183.33333333333331,44.0,SP Narine,Sunil Narine
Sunil Narine,Gujarat Titans,2nd_innings,2,5,1,0,5,0,0,0,6,2,0,83.33333333333334,2.5,SP Narine,Sunil Narine
Sunil Narine,Lucknow Super Giants,2nd_innings,3,44,3,4,22,0,0,0,21,2,1,209.52380952380955,22.0,SP Narine,Sunil Narine
Sunil Narine,Mumbai Indians,1st_innings,6,22,2,1,10,0,0,0,21,3,3,104.76190476190477,7.333333333333333,SP Narine,Sunil Narine
Sunil Narine,Mumbai Indians,2nd_innings,5,21,2,1,9,0,0,0,26,5,0,80.76923076923077,4.2,SP Narine,Sunil Narine
Sunil Narine,Punjab Kings,2nd_innings,8,71,8,4,37,0,0,0,49,4,4,144.89795918367346,17.75,SP Narine,Sunil Narine
Sunil Narine,Punjab Kings,1st_innings,6,109,11,7,75,1,0,0,56,5,1,194.64285714285714,21.8,SP Narine,Sunil Narine
Sunil Narine,Rajasthan Royals,1st_innings,6,42,6,2,15,0,0,0,38,6,0,110.5263157894737,7.0,SP Narine,Sunil Narine
Sunil Narine,Rajasthan Royals,2nd_innings,7,106,13,6,47,0,0,0,61,5,2,173.77049180327867,21.2,SP Narine,Sunil Narine
Sunil Narine,Rising Pune Supergiant,2nd_innings,2,16,3,0,16,0,0,0,11,1,1,145.45454545454547,16.0,SP Narine,Sunil Narine
Sunil Narine,Rising Pune Supergiant,1st_innings,1,0,0,0,0,0,0,0,6,1,0,0.0,0.0,SP Narine,Sunil Narine
Sunil Narine,Royal Challengers Bangalore,1st_innings,4,47,7,2,34,0,0,0,27,2,2,174.07407407407408,23.5,SP Narine,Sunil Narine
Sunil Narine,Royal Challengers Bangalore,2nd_innings,6,185,19,13,54,2,0,0,94,6,0,196.80851063829786,30.833333333333332,SP Narine,Sunil Narine
Sunil Narine,Sunrisers Hyderabad,2nd_innings,6,57,8,3,29,0,0,0,33,5,1,172.72727272727272,11.4,SP Narine,Sunil Narine
Sunil Narine,Sunrisers Hyderabad,1st_innings,7,49,5,3,25,0,0,0,35,6,1,140.0,8.166666666666666,SP Narine,Sunil Narine
Anuj Rawat,Chennai Super Kings,2nd_innings,1,12,1,0,12,0,0,0,16,1,0,75.0,12.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Delhi Capitals,1st_innings,3,23,1,1,15,0,0,0,26,1,2,88.46153846153845,23.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Gujarat Titans,1st_innings,1,23,1,1,23,0,0,0,15,0,1,153.33333333333334,23.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Kolkata Knight Riders,2nd_innings,3,1,0,0,1,0,0,0,8,3,0,12.5,0.3333333333333333,Anuj Rawat,Anuj Rawat
Anuj Rawat,Lucknow Super Giants,1st_innings,2,13,1,0,9,0,0,0,16,2,0,81.25,6.5,Anuj Rawat,Anuj Rawat
Anuj Rawat,Mumbai Indians,1st_innings,1,6,1,0,6,0,0,0,4,1,0,150.0,6.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Mumbai Indians,2nd_innings,1,66,2,6,66,1,0,0,47,1,0,140.4255319148936,66.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Punjab Kings,1st_innings,1,21,2,1,21,0,0,0,20,1,0,105.0,21.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Rajasthan Royals,1st_innings,1,29,3,2,29,0,0,0,11,0,1,263.6363636363636,29.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Rajasthan Royals,2nd_innings,1,26,4,0,26,0,0,0,25,1,0,104.0,26.0,Anuj Rawat,Anuj Rawat
Anuj Rawat,Sunrisers Hyderabad,1st_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,Anuj Rawat,Anuj Rawat
Makhaya Ntini,Rajasthan Royals,1st_innings,1,11,2,0,11,0,0,0,12,1,0,91.66666666666666,11.0,M Ntini,Makhaya Ntini
Makhaya Ntini,Royal Challengers Bangalore,2nd_innings,1,0,0,0,0,0,0,0,6,0,1,0.0,0.0,M Ntini,Makhaya Ntini
Mohammed Shami,Chennai Super Kings,2nd_innings,2,6,1,0,5,0,0,0,8,2,0,75.0,3.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Chennai Super Kings,1st_innings,1,9,0,0,9,0,0,0,12,0,1,75.0,9.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Delhi Capitals,2nd_innings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Delhi Capitals,1st_innings,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Gujarat Lions,2nd_innings,1,4,1,0,4,0,0,0,2,0,1,200.0,4.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Kolkata Knight Riders,1st_innings,3,1,0,0,1,0,0,0,4,0,3,25.0,1.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Kolkata Knight Riders,2nd_innings,1,7,1,0,7,0,0,0,6,1,0,116.66666666666667,7.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Mumbai Indians,2nd_innings,2,9,0,1,7,0,0,0,6,1,1,150.0,9.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Punjab Kings,1st_innings,3,3,0,0,2,0,0,0,7,2,1,42.857142857142854,1.5,Mohammed Shami,Mohammed Shami
Mohammed Shami,Rajasthan Royals,2nd_innings,1,5,0,0,5,0,0,0,10,1,0,50.0,5.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Rising Pune Supergiant,1st_innings,2,4,0,0,2,0,0,0,7,1,1,57.14285714285714,4.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Royal Challengers Bangalore,2nd_innings,2,22,3,1,21,0,0,0,10,1,1,220.00000000000003,22.0,Mohammed Shami,Mohammed Shami
Mohammed Shami,Sunrisers Hyderabad,1st_innings,3,3,0,0,3,0,0,0,4,2,1,75.0,1.5,Mohammed Shami,Mohammed Shami
Mohammed Shami,Sunrisers Hyderabad,2nd_innings,2,1,0,0,1,0,0,0,2,1,1,50.0,1.0,Mohammed Shami,Mohammed Shami
Jaydev Unadkat,Chennai Super Kings,1st_innings,1,19,1,1,19,0,0,0,9,0,1,211.11111111111111,19.0,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Chennai Super Kings,2nd_innings,4,41,5,1,24,0,0,0,32,2,2,128.125,20.5,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Delhi Capitals,2nd_innings,1,11,0,1,11,0,0,0,7,0,1,157.14285714285714,11.0,JD Unadkat,Jaydev Unadkat
Jaydev Unadkat,Kolkata Knight Riders,2nd_innings,3,15,1,0,9,0,0,0,19,2,1,78.94736842105263,7.5,JD Unadkat,Jaydev Unadkat
