_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
David Hussey,Royal Challengers Bangalore,8,205,13,10,45,0,0,0,158,7,1,129.74683544303798,29.285714285714285,DJ Hussey,David Hussey
David Hussey,Sunrisers Hyderabad,8,322,19,21,65,3,0,0,224,4,4,143.75,80.5,DJ Hussey,David Hussey
Akshdeep Nath,Chennai Super Kings,1,24,1,1,24,0,0,0,20,1,0,120.0,24.0,AD Nath,Akshdeep Nath
Akshdeep Nath,Delhi Capitals,1,19,4,0,19,0,0,0,12,1,0,158.33333333333331,19.0,AD Nath,Akshdeep Nath
Akshdeep Nath,Kolkata Knight Riders,1,13,0,1,13,0,0,0,15,1,0,86.66666666666667,13.0,AD Nath,Akshdeep Nath
Akshdeep Nath,Mumbai Indians,2,14,1,0,12,0,0,0,14,2,0,100.0,7.0,AD Nath,Akshdeep Nath
Akshdeep Nath,Punjab Kings,2,3,0,0,3,0,0,0,8,2,0,37.5,1.5,AD Nath,Akshdeep Nath
Akshdeep Nath,Rajasthan Royals,1,9,1,0,9,0,0,0,13,1,0,69.23076923076923,9.0,AD Nath,Akshdeep Nath
Akshdeep Nath,Royal Challengers Bangalore,1,3,0,0,3,0,0,0,6,1,0,50.0,3.0,AD Nath,Akshdeep Nath
Akshdeep Nath,Sunrisers Hyderabad,1,5,0,0,5,0,0,0,10,1,0,50.0,5.0,AD Nath,Akshdeep Nath
Ben Rohrer,Chennai Super Kings,1,4,0,0,4,0,0,0,5,1,0,80.0,4.0,BJ Rohrer,Ben Rohrer
Ben Rohrer,Kolkata Knight Riders,1,10,0,1,10,0,0,0,3,0,1,333.33333333333337,10.0,BJ Rohrer,Ben Rohrer
Ben Rohrer,Pune Warriors India,2,20,2,0,13,0,0,0,22,2,0,90.9090909090909,10.0,BJ Rohrer,Ben Rohrer
Ben Rohrer,Punjab Kings,1,49,4,3,49,0,0,0,29,1,0,168.9655172413793,49.0,BJ Rohrer,Ben Rohrer
Ben Rohrer,Rajasthan Royals,1,64,9,1,64,1,0,0,40,0,1,160.0,64.0,BJ Rohrer,Ben Rohrer
Ben Rohrer,Royal Challengers Bangalore,2,46,6,0,32,0,0,0,41,2,0,112.19512195121952,23.0,BJ Rohrer,Ben Rohrer
Dimitri Mascarenhas,Chennai Super Kings,1,8,1,0,8,0,0,0,8,1,0,100.0,8.0,AD Mascarenhas,Dimitri Mascarenhas
Dimitri Mascarenhas,Delhi Capitals,2,12,0,1,9,0,0,0,11,2,0,109.09090909090908,6.0,AD Mascarenhas,Dimitri Mascarenhas
